0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:14:34 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:17:58 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:17:58 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:17:58 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:17:58 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:17:58 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:18:56 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:18:56 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:18:56 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:18:56 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:20:41 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8116
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:20:41 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:20:41 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:20:41 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:20:41 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:26:49 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:26:49 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:26:49 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:26:49 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:22:26:49 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
